"股票代码","股票名称","市场","行业大类","行业小类","热点领域"
"000001","平安银行","A股","","",""
"000002","万  科Ａ","A股","","",""
"000004","*ST国华","A股","","",""
"000006","深振业Ａ","A股","","",""
"000007","全新好","A股","","",""
"000008","神州高铁","A股","","",""
"000009","中国宝安","A股","","",""
"000010","美丽生态","A股","","",""
"000011","深物业A","A股","","",""
"000012","南  玻Ａ","A股","","",""
"000014","沙河股份","A股","","",""
"000016","深康佳Ａ","A股","","",""
"000017","深中华A","A股","","",""
"000019","深粮控股","A股","","",""
"000020","深华发Ａ","A股","","",""
"000021","深科技","A股","","",""
"000025","特  力Ａ","A股","","",""
"000026","飞亚达","A股","","",""
"000027","深圳能源","A股","","",""
"000028","国药一致","A股","","",""
"000029","深深房Ａ","A股","","",""
"000030","富奥股份","A股","","",""
"000031","大悦城","A股","","",""
"000032","深桑达Ａ","A股","","",""
"000034","神州数码","A股","","",""
"000035","中国天楹","A股","","",""
"000036","华联控股","A股","","",""
"000037","深南电A","A股","","",""
"000039","中集集团","A股","","",""
"000042","中洲控股","A股","","",""
"000045","深纺织Ａ","A股","","",""
"000048","京基智农","A股","","",""
"000049","德赛电池","A股","","",""
"000050","深天马Ａ","A股","","",""
"000055","方大集团","A股","","",""
"000056","皇庭国际","A股","","",""
"000058","深 赛 格","A股","","",""
"000059","华锦股份","A股","","",""
"000060","中金岭南","A股","","",""
"000061","农 产 品","A股","","",""
"000062","深圳华强","A股","","",""
"000063","中兴通讯","A股","","",""
"000065","北方国际","A股","","",""
"000066","中国长城","A股","","",""
"000068","华控赛格","A股","","",""
"000069","华侨城Ａ","A股","","",""
"000070","特发信息","A股","","",""
"000078","海王生物","A股","","",""
"000088","盐 田 港","A股","","",""
"000089","深圳机场","A股","","",""
"000090","天健集团","A股","","",""
"000096","广聚能源","A股","","",""
"000099","中信海直","A股","","",""
"000100","TCL科技","A股","","",""
"000151","中成股份","A股","","",""
"000153","丰原药业","A股","","",""
"000155","川能动力","A股","","",""
"000156","华数传媒","A股","","",""
"000157","中联重科","A股","","",""
"000158","常山北明","A股","","",""
"000159","国际实业","A股","","",""
"000166","申万宏源","A股","","",""
"000301","东方盛虹","A股","","",""
"000333","美的集团","A股","","",""
"000338","潍柴动力","A股","","",""
"000400","许继电气","A股","","",""
"000401","金隅冀东","A股","","",""
"000402","金 融 街","A股","","",""
"000403","派林生物","A股","","",""
"000404","长虹华意","A股","","",""
"000407","胜利股份","A股","","",""
"000408","藏格矿业","A股","","",""
"000409","云鼎科技","A股","","",""
"000410","沈阳机床","A股","","",""
"000411","英特集团","A股","","",""
"000415","渤海租赁","A股","","",""
"000417","合百集团","A股","","",""
"000419","通程控股","A股","","",""
"000420","吉林化纤","A股","","",""
"000421","南京公用","A股","","",""
"000422","湖北宜化","A股","","",""
"000423","东阿阿胶","A股","","",""
"000425","徐工机械","A股","","",""
"000426","兴业银锡","A股","","",""
"000428","华天酒店","A股","","",""
"000429","粤高速Ａ","A股","","",""
"000430","ST张家界","A股","","",""
"000488","ST晨鸣","A股","","",""
"000498","山东路桥","A股","","",""
"000501","武商集团","A股","","",""
"000503","国新健康","A股","","",""
"000504","*ST生物","A股","","",""
"000505","京粮控股","A股","","",""
"000506","招金黄金","A股","","",""
"000507","珠海港","A股","","",""
"000509","华塑控股","A股","","",""
"000510","新金路","A股","","",""
"000513","丽珠集团","A股","","",""
"000514","渝 开 发","A股","","",""
"000516","国际医学","A股","","",""
"000517","荣安地产","A股","","",""
"000518","*ST四环","A股","","",""
"000519","中兵红箭","A股","","",""
"000520","凤凰航运","A股","","",""
"000521","长虹美菱","A股","","",""
"000523","红棉股份","A股","","",""
"000524","岭南控股","A股","","",""
"000525","红太阳","A股","","",""
"000526","学大教育","A股","","",""
"000528","柳    工","A股","","",""
"000529","广弘控股","A股","","",""
"000530","冰山冷热","A股","","",""
"000531","穗恒运Ａ","A股","","",""
"000532","华金资本","A股","","",""
"000533","顺钠股份","A股","","",""
"000534","万泽股份","A股","","",""
"000536","华映科技","A股","","",""
"000537","绿发电力","A股","","",""
"000538","云南白药","A股","","",""
"000539","粤电力Ａ","A股","","",""
"000541","佛山照明","A股","","",""
"000543","皖能电力","A股","","",""
"000544","中原环保","A股","","",""
"000545","金浦钛业","A股","","",""
"000546","金圆股份","A股","","",""
"000547","航天发展","A股","","",""
"000548","湖南投资","A股","","",""
"000550","江铃汽车","A股","","",""
"000551","创元科技","A股","","",""
"000552","甘肃能化","A股","","",""
"000553","安道麦A","A股","","",""
"000554","泰山石油","A股","","",""
"000555","神州信息","A股","","",""
"000557","西部创业","A股","","",""
"000558","天府文旅","A股","","",""
"000559","万向钱潮","A股","","",""
"000560","我爱我家","A股","","",""
"000561","烽火电子","A股","","",""
"000563","陕国投Ａ","A股","","",""
"000564","供销大集","A股","","",""
"000565","渝三峡Ａ","A股","","",""
"000566","海南海药","A股","","",""
"000567","海德股份","A股","","",""
"000568","泸州老窖","A股","","",""
"000570","苏常柴Ａ","A股","","",""
"000571","新大洲A","A股","","",""
"000572","海马汽车","A股","","",""
"000573","粤宏远Ａ","A股","","",""
"000576","甘化科工","A股","","",""
"000581","威孚高科","A股","","",""
"000582","北部湾港","A股","","",""
"000586","汇源通信","A股","","",""
"000589","贵州轮胎","A股","","",""
"000590","古汉医药","A股","","",""
"000591","太阳能","A股","","",""
"000592","平潭发展","A股","","",""
"000593","德龙汇能","A股","","",""
"000595","*ST宝实","A股","","",""
"000596","古井贡酒","A股","","",""
"000597","东北制药","A股","","",""
"000598","兴蓉环境","A股","","",""
"000599","青岛双星","A股","","",""
"000600","建投能源","A股","","",""
"000601","韶能股份","A股","","",""
"000603","盛达资源","A股","","",""
"000605","渤海股份","A股","","",""
"000607","华媒控股","A股","","",""
"000608","*ST阳光","A股","","",""
"000609","*ST中迪","A股","","",""
"000610","西安旅游","A股","","",""
"000612","焦作万方","A股","","",""
"000615","*ST美谷","A股","","",""
"000617","中油资本","A股","","",""
"000619","海螺新材","A股","","",""
"000620","盈新发展","A股","","",""
