品种代码,品种名称,纳入日期
688411,海博思创,2026-01-27
688545,兴福电子,2026-01-22
688583,思看科技,2026-01-15
688758,赛分科技,2026-01-12
603072,天和磁材,2026-01-05
603194,中力股份,2025-12-24
600831,广电网络,2025-12-15
688605,先锋精科,2025-12-12
688708,佳驰科技,2025-12-05
688449,联芸科技,2025-12-01
603395,红四方,2025-11-26
688750,金天钛业,2025-11-20
600603,广汇物流,2025-11-17
603205,健尔康,2025-11-07
688726,拉普拉斯,2025-10-29
688615,合合信息,2025-09-26
603091,众鑫股份,2025-09-22
600711,盛屯矿业,2025-09-15
688710,益诺思,2025-09-03
603207,小方制药,2025-08-26
603310,巍华新材,2025-08-14
603959,百利科技,2025-08-11
600287,江苏舜天,2025-08-11
688721,龙图光罩,2025-08-06
603391,力聚热能,2025-07-31
603023,威帝股份,2025-07-14
603285,键邦股份,2025-07-07
603350,安乃达,2025-07-03
603381,永臻股份,2025-06-26
600234,科新发展,2025-06-16
603879,永悦科技,2025-06-16
603608,天创时尚,2025-06-16
600671,天目药业,2025-06-16
688282,理工导航,2025-06-16
600715,文投控股,2025-06-16
603363,傲农生物,2025-06-16
688692,达梦数据,2025-06-12
600303,曙光股份,2025-05-12
600375,汉马科技,2025-05-12
688530,欧莱新材,2025-05-09
688691,灿芯股份,2025-04-11
603344,星德胜,2025-03-20
688695,中创股份,2025-03-13
603341,龙旗科技,2025-03-03
688584,上海合晶,2025-02-10
688709,成都华微,2025-02-07
603082,北自科技,2025-02-05
603375,盛景微,2025-01-24
601033,永兴股份,2025-01-20
603312,西典新能,2025-01-13
603325,博隆技术,2025-01-10
688717,艾罗能源,2025-01-03
603004,鼎龙科技,2024-12-27
601096,宏盛华源,2024-12-23
603373,安邦护卫,2024-12-20
603231,索宝蛋白,2024-12-16
688720,艾森股份,2024-12-06
601083,锦江航运,2024-12-05
688652,京仪装备,2024-11-29
688653,康希通信,2024-11-18
688648,中邮科技,2024-11-13
603062,麦加芯彩,2024-11-07
603107,上海汽配,2024-11-01
603273,天元智能,2024-10-23
603193,润本股份,2024-10-17
688657,浩辰软件,2024-10-10
688719,爱科赛博,2024-09-30
603276,恒兴新材,2024-09-25
688716,中研股份,2024-09-20
688702,盛科通信,2024-09-18
600666,奥瑞德,2024-09-18
603075,热威股份,2024-09-11
688549,中巨芯,2024-09-09
603270,金帝股份,2024-09-02
688591,泰凌微,2024-08-26
603275,众辰科技,2024-08-23
688693,锴威特,2024-08-19
688573,信宇人,2024-08-19
688592,司南导航,2024-08-16
688548,广钢气体,2024-08-15
600117,西宁特钢,2024-08-12
600543,莫高股份,2024-08-12
600518,康美药业,2024-08-12
603117,万林物流,2024-08-12
603030,全筑股份,2024-08-12
688671,碧兴物联,2024-08-09
603296,华勤技术,2024-08-08
688347,华虹公司,2024-08-07
603119,浙江荣泰,2024-08-01
688651,盛邦安全,2024-07-26
688612,威迈斯,2024-07-26
688450,光格科技,2024-07-24
688602,康鹏科技,2024-07-22
688563,航材股份,2024-07-19
688610,埃科光电,2024-07-19
688627,精智达,2024-07-18
603880,南卫股份,2024-07-15
688272,富吉瑞,2024-07-15
603001,奥康国际,2024-07-15
600530,交大昂立,2024-07-15
600396,金山股份,2024-07-15
600734,实达集团,2024-07-15
600589,广东榕泰,2024-07-15
600759,洲际油气,2024-07-15
600654,中安消,2024-07-15
688500,慧辰股份,2024-07-15
600078,澄星股份,2024-07-15
688638,誉辰智能,2024-07-12
688603,天承科技,2024-07-10
688429,时创能源,2024-07-01
688582,芯动联科,2024-07-01
688631,莱斯信息,2024-06-28
688620,安凯微,2024-06-27
688629,华丰科技,2024-06-27
688543,国科军工,2024-06-21
688443,智翔金泰,2024-06-20
688334,西高院,2024-06-19
688472,阿特斯,2024-06-11
688623,双元科技,2024-06-11
688576,西山科技,2024-06-06
688570,天玛智控,2024-06-05
688523,航天环宇,2024-06-03
688593,新相微,2024-06-03
688562,航天软件,2024-05-24
688458,美芯晟,2024-05-22
688581,安杰思,2024-05-20
688552,航天南湖,2024-05-20
688361,中科飞测,2024-05-20
688512,慧智微,2024-05-16
688479,友车科技,2024-05-13
688469,芯联集成,2024-05-10
603172,万丰股份,2024-05-10
688249,晶合集成,2024-05-06
688478,晶升股份,2024-04-24
688146,中船特气,2024-04-22
688352,颀中科技,2024-04-22
603137,恒尚节能,2024-04-19
688507,索辰科技,2024-04-18
688539,高华科技,2024-04-18
688433,华曙高科,2024-04-17
603125,常青科技,2024-04-10
601065,江盐集团,2024-04-10
601061,中信金属,2024-04-10
601133,柏诚股份,2024-04-10
603135,中重科技,2024-04-10
688343,云天励飞,2024-04-08
688484,南芯科技,2024-04-08
688535,华海诚科,2024-04-08
688531,日联科技,2024-04-01
603162,海通发展,2024-03-29
600925,苏能股份,2024-03-29
603291,联合水务,2024-03-27
603065,宿迁联盛,2024-03-21
603073,彩蝶实业,2024-03-18
603282,亚光股份,2024-03-15
603153,上海建科,2024-03-13
601121,宝地矿业,2024-03-11
