日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一
2026/02/03 16:08:24,00001,长和,CKH HOLDINGS,,64.0,2.5,4.06504,61.5,62.0,64.1,61.75,12132864,772265063,63.9,64.0
2026/02/03 16:08:24,00002,中电控股,CLP HOLDINGS,,74.45,0.8,1.08621,73.65,73.8,74.8,73.8,2960230,220083037,74.4,74.45
2026/02/03 16:08:24,00003,香港中华煤气,HK & CHINA GAS,,7.53,0.21,2.86886,7.32,7.41,7.54,7.4,38030922,285096317,7.52,7.53
2026/02/03 16:08:24,00004,九龙仓集团,WHARF HOLDINGS,,26.3,1.12,4.44797,25.18,25.18,26.3,25.18,1793225,46546982,26.16,26.3
2026/02/03 16:08:20,00005,汇丰控股,HSBC HOLDINGS,,138.89999,4.19999,3.11804,134.7,138.7,139.0,137.3,19499165,2692994674,138.89999,139.0
2026/02/03 16:08:20,00006,电能实业,POWER ASSETS,,61.75,1.1,1.81369,60.65,60.65,62.1,60.65,3964405,244566714,61.7,61.75
2026/02/03 16:08:24,00007,智富资源投资,WISDOM WEALTH,,0.032,0.0,1e-05,0.032,0.0,0.0,0.0,0,0,0.0,0.0
2026/02/03 16:08:24,00008,电讯盈科,PCCW,,6.0,0.12,2.04082,5.88,5.88,6.0,5.84,17324674,103452478,5.98,6.0
2026/02/03 16:08:24,00010,恒隆集团,HANG LUNG GROUP,,16.25,0.1,0.6192,16.15,16.28,16.37,16.0,486277,7863427,16.24,16.25
2026/02/03 16:08:24,00012,恒基地产,HENDERSON LAND,,31.8,0.9,2.91262,30.9,31.04,31.9,31.0,9559916,302707227,31.76,31.8
2026/02/03 16:08:24,00013,和黄医药,HUTCHMED,,22.88,0.3,1.32861,22.58,22.68,22.98,22.32,2839500,64472300,22.86,22.88
2026/02/03 16:08:24,00014,希慎兴业,HYSAN DEV,,21.8,0.62,2.92729,21.18,21.18,21.8,21.18,1501059,32508282,21.78,21.8
2026/02/03 16:08:20,00016,新鸿基地产,SHK PPT,,123.1,2.8,2.32751,120.3,120.8,123.2,120.5,5505474,673494885,123.0,123.1
2026/02/03 16:08:24,00017,新世界发展,NEW WORLD DEV,,10.25,0.23,2.29541,10.02,10.2,10.37,9.95,17245937,174946324,10.24,10.25
2026/02/03 16:08:24,00018,东方企控集团,ORIENTAL E H,,0.31,0.005,1.63935,0.305,0.305,0.305,0.3,44000,13400,0.31,0.315
2026/02/03 16:08:24,00019,太古股份公司Ａ,SWIRE PACIFIC A,,77.55,2.95,3.95443,74.6,74.8,77.6,74.8,1822298,140493706,77.4,77.55
